Target: GroundStatSat

Observer: BroncoSpace
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
21 Jul 2024 01:51:07.992    21 Jul 2024 01:54:56.360      228.36799789    
21 Jul 2024 12:30:19.875    21 Jul 2024 12:35:22.605      302.73034412    
22 Jul 2024 01:34:37.891    22 Jul 2024 01:39:18.705      280.81401950    
22 Jul 2024 12:14:12.463    22 Jul 2024 12:19:14.397      301.93329271    
23 Jul 2024 01:18:21.105    23 Jul 2024 01:23:20.646      299.54100691    
23 Jul 2024 11:58:20.078    23 Jul 2024 12:02:52.534      272.45541969    
24 Jul 2024 01:02:15.036    24 Jul 2024 01:07:04.806      289.77019483    
24 Jul 2024 11:42:48.023    24 Jul 2024 11:46:11.784      203.76148185    
25 Jul 2024 00:46:22.189    25 Jul 2024 00:50:28.669      246.47979270    
25 Jul 2024 13:00:22.697    25 Jul 2024 13:03:59.225      216.52763514    
26 Jul 2024 00:30:58.120    26 Jul 2024 00:33:16.620      138.50078643    
26 Jul 2024 02:04:54.398    26 Jul 2024 02:07:07.428      133.03021789    
26 Jul 2024 12:43:33.301    26 Jul 2024 12:48:13.585      280.28371063    
27 Jul 2024 01:47:51.939    27 Jul 2024 01:51:51.175      239.23594588    
27 Jul 2024 12:27:04.773    27 Jul 2024 12:32:08.422      303.64845672    
28 Jul 2024 01:31:15.974    28 Jul 2024 01:36:01.160      285.18573311    
28 Jul 2024 12:10:51.636    28 Jul 2024 12:15:49.213      297.57758182    
29 Jul 2024 01:14:52.649    29 Jul 2024 01:19:51.287      298.63830234    
29 Jul 2024 11:54:54.264    29 Jul 2024 11:59:15.622      261.35736866    
30 Jul 2024 00:58:40.367    30 Jul 2024 01:03:23.167      282.80061447    
30 Jul 2024 11:39:20.528    30 Jul 2024 11:42:19.854      179.32598839    
30 Jul 2024 13:14:02.083    30 Jul 2024 13:15:30.567      88.483712124    
31 Jul 2024 00:42:43.018    31 Jul 2024 00:46:32.882      229.86403591    
31 Jul 2024 12:56:22.806    31 Jul 2024 13:00:16.478      233.67212227    
01 Aug 2024 00:27:29.178    01 Aug 2024 00:28:51.783      82.604693016    
01 Aug 2024 02:00:43.766    01 Aug 2024 02:03:28.680      164.91339180    
01 Aug 2024 12:39:30.110    01 Aug 2024 12:44:17.176      287.06568953    


Number of events : 72


Observer: PortlandStateUni
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
02 Jul 2024 05:20:16.422    02 Jul 2024 05:24:25.117      248.69508161    
02 Jul 2024 16:01:29.175    02 Jul 2024 16:06:25.325      296.14933004    
03 Jul 2024 05:04:18.151    03 Jul 2024 05:09:08.413      290.26225928    
03 Jul 2024 15:45:41.854    03 Jul 2024 15:50:48.156      306.30212211    
04 Jul 2024 04:48:29.741    04 Jul 2024 04:53:35.033      305.29255833    
04 Jul 2024 15:30:06.957    04 Jul 2024 15:34:59.755      292.79727557    
05 Jul 2024 04:32:49.774    05 Jul 2024 04:37:46.403      296.62848562    
05 Jul 2024 15:14:45.806    05 Jul 2024 15:18:58.844      253.03760263    
06 Jul 2024 04:17:20.103    06 Jul 2024 04:21:40.652      260.54850662    
06 Jul 2024 14:59:46.308    06 Jul 2024 15:02:37.584      171.27663335    
06 Jul 2024 16:33:41.155    06 Jul 2024 16:36:35.867      174.71224198    
07 Jul 2024 04:02:09.578    07 Jul 2024 04:05:08.876      179.29843058    
07 Jul 2024 05:36:14.545    07 Jul 2024 05:38:55.523      160.97814955    
07 Jul 2024 16:17:06.961    07 Jul 2024 16:21:26.169      259.20814915    
08 Jul 2024 05:19:48.754    08 Jul 2024 05:23:56.230      247.47643566    
08 Jul 2024 16:00:56.811    08 Jul 2024 16:05:53.714      296.90297178    
09 Jul 2024 05:03:41.904    09 Jul 2024 05:08:31.093      289.18948359    
09 Jul 2024 15:45:01.262    09 Jul 2024 15:50:07.921      306.65875239    
10 Jul 2024 04:47:45.141    10 Jul 2024 04:52:48.995      303.85424575    
10 Jul 2024 15:29:18.386    10 Jul 2024 15:34:10.733      292.34699607    
11 Jul 2024 04:31:57.061    11 Jul 2024 04:36:51.348      294.28719564    
11 Jul 2024 15:13:49.635    11 Jul 2024 15:18:00.734      251.09933802    
12 Jul 2024 04:16:19.710    12 Jul 2024 04:20:36.080      256.36961596    
12 Jul 2024 14:58:43.680    12 Jul 2024 15:01:29.321      165.64095116    
12 Jul 2024 16:32:31.442    12 Jul 2024 16:35:32.395      180.95289348    
13 Jul 2024 04:01:03.075    13 Jul 2024 04:03:53.144      170.06911375    
13 Jul 2024 05:35:01.515    13 Jul 2024 05:37:46.578      165.06311784    
13 Jul 2024 16:15:50.397    13 Jul 2024 16:20:12.780      262.38267585    
14 Jul 2024 05:18:28.337    14 Jul 2024 05:22:37.521      249.18420967    
14 Jul 2024 15:59:32.778    14 Jul 2024 16:04:31.089      298.31115195    
15 Jul 2024 05:02:13.635    15 Jul 2024 05:07:03.007      289.37175320    
15 Jul 2024 15:43:29.784    15 Jul 2024 15:48:36.096      306.31190473    
16 Jul 2024 04:46:09.061    16 Jul 2024 04:51:11.411      302.35027395    
16 Jul 2024 15:27:39.706    16 Jul 2024 15:32:29.519      289.81291708    
17 Jul 2024 04:30:13.428    17 Jul 2024 04:35:03.918      290.48996310    
17 Jul 2024 15:12:04.368    17 Jul 2024 15:16:09.570      245.20214737    
18 Jul 2024 04:14:29.233    18 Jul 2024 04:18:37.999      248.76609970    
18 Jul 2024 14:56:54.387    18 Jul 2024 14:59:25.699      151.31255686    
18 Jul 2024 16:30:27.518    18 Jul 2024 16:33:39.800      192.28236331    
19 Jul 2024 03:59:08.990    19 Jul 2024 04:01:41.069      152.07878624    
19 Jul 2024 05:32:54.154    19 Jul 2024 05:35:49.369      175.21522406    
19 Jul 2024 16:13:41.214    19 Jul 2024 16:18:08.775      267.56072121    
20 Jul 2024 05:16:15.042    20 Jul 2024 05:20:28.738      253.69641236    
20 Jul 2024 15:57:16.987    20 Jul 2024 16:02:17.054      300.06714348    
21 Jul 2024 04:59:53.119    21 Jul 2024 05:04:43.838      290.71937401    
21 Jul 2024 15:41:07.248    21 Jul 2024 15:46:12.199      304.95061786    
22 Jul 2024 04:43:41.209    22 Jul 2024 04:48:41.861      300.65135375    
22 Jul 2024 15:25:10.710    22 Jul 2024 15:29:55.505      284.79459003    
23 Jul 2024 04:27:38.565    23 Jul 2024 04:32:23.547      284.98191771    
23 Jul 2024 15:09:29.884    23 Jul 2024 15:13:24.499      234.61504520    
24 Jul 2024 04:11:48.480    24 Jul 2024 04:15:45.559      237.07880579    
24 Jul 2024 14:54:19.754    24 Jul 2024 14:56:24.263      124.50892786    
24 Jul 2024 16:27:29.522    24 Jul 2024 16:30:56.791      207.26841880    
25 Jul 2024 03:56:29.074    25 Jul 2024 03:58:29.696      120.62188082    
25 Jul 2024 05:29:52.473    25 Jul 2024 05:33:02.669      190.19576322    
25 Jul 2024 16:10:39.050    25 Jul 2024 16:15:13.207      274.15706475    
26 Jul 2024 05:13:08.384    26 Jul 2024 05:17:28.995      260.61107826    
26 Jul 2024 15:54:08.932    26 Jul 2024 15:59:10.654      301.72195873    
27 Jul 2024 04:56:39.744    27 Jul 2024 05:01:32.666      292.92189331    
27 Jul 2024 15:37:53.087    27 Jul 2024 15:42:55.192      302.10499578    
28 Jul 2024 04:40:20.929    28 Jul 2024 04:45:19.315      298.38602707    
28 Jul 2024 15:21:50.849    28 Jul 2024 15:26:27.492      276.64341750    
29 Jul 2024 04:24:11.849    29 Jul 2024 04:28:49.014      277.16422349    
29 Jul 2024 15:06:05.914    29 Jul 2024 15:09:43.900      217.98578926    
29 Jul 2024 16:41:22.649    29 Jul 2024 16:42:28.513      65.864058549    
30 Jul 2024 04:08:17.162    30 Jul 2024 04:11:57.048      219.88651918    
